"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-01","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","130.8","","","","1"
"2017-02","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","131.2","","","","1"
"2017-03","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","131.4","","","","1"
"2017-04","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","132.0","","","","1"
"2017-05","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","131.9","","","","1"
"2017-06","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","132.1","","","","1"
"2017-07","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","131.9","","","","1"
"2017-08","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","131.8","","","","1"
"2017-09","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","132.3","","","","1"
"2017-10","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","132.3","","","","1"
"2017-11","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","132.7","","","","1"
"2017-12","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","132.0","","","","1"
"2018-01","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","133.2","","","","1"
"2018-02","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","134.0","","","","1"
"2018-03","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","134.6","","","","1"
"2018-04","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","134.8","","","","1"
"2018-05","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","134.9","","","","1"
"2018-06","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","135.3","","","","1"
"2018-07","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","136.0","","","","1"
"2018-08","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","135.9","","","","1"
"2018-09","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","135.2","","","","1"
"2018-10","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","135.6","","","","1"
"2018-11","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","135.1","","","","1"
"2018-12","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","135.0","","","","1"
"2019-01","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","135.2","","","","1"
"2019-02","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","136.0","","","","1"
"2019-03","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","137.0","","","","1"
"2019-04","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","137.4","","","","1"
"2019-05","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","138.1","","","","1"
"2019-06","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","138.0","","","","1"
"2019-07","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","138.8","","","","1"
